region,pop,yr
Virginia,8365952,2017
Cville and Albemarle,151592,2017
Virginia,8413774,2018
Cville and Albemarle,153397,2018
Virginia,8454463,2019
Cville and Albemarle,154501,2019
Virginia,8631393,2020
Cville and Albemarle,158948,2020
Virginia,8582479,2021
Cville and Albemarle,158035,2021
Virginia,8624511,2022
Cville and Albemarle,158802,2022
Virginia,8657499,2023
Cville and Albemarle,159546,2023
Virginia,8811195,2024
Cville and Albemarle,162080,2024
Virginia,8880107,2025
Cville and Albemarle,164134,2025
